Adjectives Car
lovely good
heavy good
perfect good
perfect good
perfect good
pure good
decent good
nice good
nice good
nice good
right good
sound good
sound good
sound good
sound good
sound good
sound good
sound good
sound good
sound good
sound good
sound good
sound good
excellent good
excellent good
excellent good
excellent good
big good
great good
great good
great good
great good
great good
great good
great good
great good
large good
large good
full good
full good
serious good
serious good
well good
well good
good good
good good
good good
good good
good good
good good
big bad
bad bad
bad bad
tough bad
tough bad
tough bad
